purchase_order_number,purchase_order_line,order_date,ordering_facility_code,supplier_partner_code,item_code,item_description,item_category,ordered_quantity,ordered_unit,unit_price,currency,requested_delivery_date,authorization_class,declared_cost_center,order_status
PO-2014-00001,1,2014-06-24,FCL-1007,BP-30078,ITM-MED-001,General clinical consumable case,medical_consumables,73,case,157.85,VLN,2014-07-08,restricted,Clinical Programmes,completed
PO-2015-00001,1,2015-01-22,FCL-1010,BP-30068,ITM-TRN-001,Regional refrigerated transport service,transport_service,1,service,3482.27,VLN,2015-02-01,ordinary,Clinical Services,completed
PO-2015-00002,1,2015-01-29,FCL-1030,BP-30066,ITM-COM-001,Secure communication service,communication_service,1,service,1292.19,KRN,2015-02-26,ordinary,General Operations,completed
PO-2015-00003,1,2015-02-10,FCL-1010,BP-30080,ITM-LAB-002,Sample preparation material pack,laboratory_material,3,pack,458.67,VLN,2015-03-02,expedited,Clinical Services,completed
PO-2015-00004,1,2015-02-12,FCL-1022,BP-30021,ITM-GRA-001,Programme grant transfer,grant,1,grant,26933.28,KRN,2015-02-21,ordinary,Facilities,completed
PO-2015-00005,1,2015-02-27,FCL-1009,BP-30039,ITM-AGR-001,Durian produce pallet,agricultural_product,19,pallet,1824.43,VLN,2015-03-16,expedited,Clinical Services,completed
PO-2015-00006,1,2015-03-06,FCL-1011,BP-30037,ITM-CSE-001,Portable cold-storage module,cold_storage_equipment,3,unit,13839.65,VLN,2015-03-13,ordinary,General Operations,completed
PO-2015-00007,1,2015-03-07,FCL-1019,BP-30039,ITM-LEG-001,Regulatory legal service,legal_service,1,service,4325.18,AVL,2015-04-05,expedited,General Operations,completed
PO-2015-00008,1,2015-05-01,FCL-1007,BP-30028,ITM-MON-002,Field camera and sensor kit,monitoring_equipment,1,kit,2173.66,AVL,2015-06-09,ordinary,General Operations,completed
PO-2015-00009,1,2015-06-13,FCL-1007,BP-30078,ITM-LEG-001,Regulatory legal service,legal_service,1,service,4755.61,VLN,2015-06-24,ordinary,Research Services,completed
PO-2015-00010,1,2015-06-20,FCL-1010,BP-30057,ITM-CSE-001,Portable cold-storage module,cold_storage_equipment,23,unit,14064.86,VLN,2015-07-15,emergency,Facilities,completed
PO-2015-00011,1,2015-06-24,FCL-1011,BP-30009,ITM-RES-001,Applied research contract,research_contract,1,contract,18719.43,VLN,2015-07-13,restricted,Field Programmes,completed
PO-2015-00012,1,2015-07-07,FCL-1011,BP-30022,ITM-CON-001,Operational consulting service,consulting_service,1,service,6132.88,VLN,2015-07-29,restricted,Agricultural Distribution,completed
PO-2015-00013,1,2015-07-16,FCL-1011,BP-30003,ITM-MED-002,Sterile administration supplies,medical_consumables,17,case,281.44,VLN,2015-08-15,restricted,Field Programmes,completed
PO-2015-00014,1,2015-07-25,FCL-1022,BP-30012,ITM-BIO-002,Environmental reference sample lot,biological_sample,7,sealed_lot,1468.51,KRN,2015-08-16,ordinary,General Operations,completed
PO-2015-00015,1,2015-08-05,FCL-1023,BP-30057,ITM-LAB-002,Sample preparation material pack,laboratory_material,37,pack,560.69,NDH,2015-09-02,restricted,Cold Chain,completed
