partner_code,partner_name,partner_role,external_registration_number,billing_region,shipping_region,default_currency,payment_terms,partner_status,risk_class,onboarding_date
BP-30001,Marula Cold Store Cooperative,supplier_customer,REG-AVL-20012,Avelora Federation,Eastern Avelora Agricultural Cluster,AVL,NET45,active,review,2001-02-01
BP-30002,Blue Heron Monitoring Cooperative,customer,REG-KNT-20037,Kintara Republic,Kintara Karst Cluster,KRN,NET45,active,standard,2012-03-01
BP-30003,Orra Technical Services,supplier,REG-AVL-20022,Avelora Federation,Eastern Avelora Agricultural Cluster,AVL,PUBLIC30,active,review,2008-04-01
BP-30004,Common Ground Climate Forum,service_partner,REG-VLN-01008,Valenne Republic,Valenne Central District,VLN,PREPAID,active,review,2014-05-01
BP-30005,Warden Medical Ventures,service_partner,REG-VLN-01016,Valenne Republic,Valenne Republic,VLN,PREPAID,inactive,standard,2013-06-01
BP-30006,Avelora Food Standards Office,customer,,Avelora Federation,Eastern Avelora Agricultural Cluster,AVL,NET15,active,standard,2013-07-01
BP-30007,Helix Legal and Compliance,service_partner,REG-NDH-01012,Nordhaven Union,Nordhaven Maritime District,NDH,NET45,active,standard,2013-08-01
BP-30008,Riverstone Waste Management,supplier,REG-AVL-20036,Avelora Federation,Eastern Avelora Agricultural Cluster,AVL,PUBLIC30,active,low,2019-09-01
BP-30009,Lantern Investigative Bureau,service_partner,REG-VLN-01010,Valenne Republic,Valenne Central District,VLN,PUBLIC30,active,low,2016-10-01
BP-30010,Tembara Coastal Administration,customer,,Tembara Commonwealth,Tembara Commonwealth,TMB,PREPAID,active,low,1998-11-01
BP-30011,Valenne Laboratory Materials,supplier,REG-VLN-20009,Valenne Republic,Valenne Central District,VLN,NET30,active,standard,2011-12-01
BP-30012,Pandan Agricultural Finance,service_partner,REG-TMB-20033,Tembara Commonwealth,Tembara Coastal Cluster,TMB,NET45,active,low,2010-01-01
BP-30013,Vann Maritime Advisory,service_partner,REG-NDH-01015,Nordhaven Union,Nordhaven Union,NDH,PUBLIC30,inactive,standard,2001-02-01
BP-30014,Ardena Commercial Bank,service_partner,REG-VLN-20018,Valenne Republic,Valenne Central District,VLN,PUBLIC30,active,review,2008-03-01
BP-30015,Tembara Port Services,carrier,REG-TMB-20005,Tembara Commonwealth,Tembara Coastal Cluster,TMB,NET15,active,low,1998-04-01
BP-30016,Kintara Cave and Pollinator Authority,customer,,Kintara Republic,Kintara Karst Cluster,KRN,NET15,active,low,2009-05-01
BP-30017,Meridian–Asterion Foundation,customer,REG-VLN-01014,Valenne Republic,Valenne Central District,VLN,NET30,active,review,2013-06-01
