facility_code,facility_name,facility_category,operating_partner_code,street_address,region,latitude,longitude,opening_date,facility_status,storage_capabilities
FCL-1011,Meridian Valenne Headquarters,office,BP-30078,"Meridian Valenne Headquarters, Valenne Central District",Valenne Central District,47.24,7.58,2006-01-01,active,ambient
FCL-1024,Meridian Kintara Biological Aggregation Facility,warehouse,BP-30078,"Meridian Kintara Biological Aggregation Facility, Kintara Karst Cluster",Kintara Karst Cluster,4.74,112.28,1997-01-01,active,2-8C;ambient;frozen;secure_cage
FCL-1019,Meridian Avelora Transfer Annex,transfer_hub,BP-30078,"Meridian Avelora Transfer Annex, Eastern Avelora Agricultural Cluster",Eastern Avelora Agricultural Cluster,7.46,101.91,2003-01-01,active,2-8C;ambient;frozen;secure_cage
FCL-1020,Meridian Tembara Coastal Hub,transfer_hub,BP-30078,"Meridian Tembara Coastal Hub, Tembara Coastal Cluster",Tembara Coastal Cluster,2.2,104.55,2010-01-01,active,2-8C;ambient;frozen;secure_cage
FCL-1016,Northstar Tembara Cold-Chain Hub,warehouse,BP-30047,"Northstar Tembara Cold-Chain Hub, Tembara Coastal Cluster",Tembara Coastal Cluster,2.23,104.58,2008-01-01,active,2-8C;ambient;frozen;secure_cage
FCL-1010,Asterion Central Clinical Campus,laboratory_delivery_point,BP-30021,"Asterion Central Clinical Campus, Valenne Central District",Valenne Central District,47.2,7.51,2008-01-01,active,2-8C;controlled_access
FCL-1007,Asterion Avelora Executive Clinic,clinical_delivery_point,BP-30021,"Asterion Avelora Executive Clinic, Eastern Avelora Agricultural Cluster",Eastern Avelora Agricultural Cluster,7.35,101.62,2011-01-01,active,2-8C;controlled_access
FCL-1030,Kintara Cave Authority Field Depot,field_depot,BP-30016,"Kintara Cave Authority Field Depot, Kintara Karst Cluster",Kintara Karst Cluster,4.76,112.38,2011-01-01,active,ambient
FCL-1015,Threshold Earth Avelora Laboratory,laboratory_delivery_point,BP-30040,"Threshold Earth Avelora Laboratory, Eastern Avelora Agricultural Cluster",Eastern Avelora Agricultural Cluster,7.5,101.75,2012-01-01,active,2-8C;controlled_access
FCL-1027,Valenne Central Distribution Centre,transfer_hub,BP-30075,"Valenne Central Distribution Centre, Valenne Central District",Valenne Central District,47.1481,7.6765,1998-01-01,active,ambient;secure_cage
